,time,date,year,month,depth,magnitude
96,2019-06-18 04:04:29,2019-06-18,2019,6,8,3.1
97,2019-06-18 02:58:18,2019-06-18,2019,6,9,3.1
98,2019-06-18 01:01:24,2019-06-18,2019,6,10,3.1
99,2019-06-18 00:39:11,2019-06-18,2019,6,11,3.8
100,2019-06-18 00:37:55,2019-06-18,2019,6,10,4.2
101,2019-06-18 00:29:07,2019-06-18,2019,6,10,4.1
102,2019-06-17 23:36:01,2019-06-17,2019,6,16,5.1
103,2019-06-17 23:23:31,2019-06-17,2019,6,8,3.0
104,2019-06-17 23:09:01,2019-06-17,2019,6,10,3.6
105,2019-06-17 22:55:43,2019-06-17,2019,6,16,6.0
106,2019-04-27 01:19:12,2019-04-27,2019,4,11,3.3
107,2019-03-17 11:46:24,2019-03-17,2019,3,8,3.0
108,2019-01-20 00:38:23,2019-01-20,2019,1,5,3.4
109,2019-01-04 15:59:31,2019-01-04,2019,1,6,3.2
110,2019-01-03 08:48:06,2019-01-03,2019,1,15,5.3
111,2018-12-28 16:21:08,2018-12-28,2018,12,7,3.8
112,2018-12-16 20:16:24,2018-12-16,2018,12,10,3.2
113,2018-12-16 12:46:07,2018-12-16,2018,12,12,5.7
114,2018-11-12 10:26:42,2018-11-12,2018,11,7,3.2
115,2018-05-05 00:36:45,2018-05-05,2018,5,11,3.4
116,2018-03-18 03:31:00,2018-03-18,2018,3,13,3.3
117,2017-07-30 08:04:07,2017-07-30,2017,7,8,3.0
118,2017-06-26 08:47:43,2017-06-26,2017,6,14,3.6
119,2017-06-09 21:17:40,2017-06-09,2017,6,10,3.4
120,2017-05-04 13:40:20,2017-05-04,2017,5,10,4.9
121,2017-05-01 06:57:10,2017-05-01,2017,5,2,3.2
122,2017-04-29 22:20:43,2017-04-29,2017,4,10,3.0
123,2017-04-05 18:34:58,2017-04-05,2017,4,12,3.3
124,2017-02-02 08:34:29,2017-02-02,2017,2,10,3.7
125,2017-01-28 02:46:32,2017-01-28,2017,1,11,4.9
126,2017-01-20 04:12:21,2017-01-20,2017,1,6,3.4
127,2017-01-18 22:35:13,2017-01-18,2017,1,5,4.3
128,2017-01-15 19:29:17,2017-01-15,2017,1,10,3.4
129,2017-01-15 19:20:53,2017-01-15,2017,1,10,3.7
130,2017-01-15 18:05:35,2017-01-15,2017,1,12,4.2
131,2016-12-29 04:05:49,2016-12-29,2016,12,5,3.0
132,2016-12-28 20:03:08,2016-12-28,2016,12,10,3.3
133,2016-12-28 10:40:31,2016-12-28,2016,12,11,3.1
134,2016-09-10 10:44:50,2016-09-10,2016,9,13,3.7
135,2016-08-08 19:17:08,2016-08-08,2016,8,10,3.0
136,2016-06-08 16:36:16,2016-06-08,2016,6,12,3.3
137,2016-01-18 11:24:38,2016-01-18,2016,1,6,3.2
